,Unnamed: 0,ID,Nom/Description,Type,ville,localisation,latitude,longitude,capacité,lits,chambres,sale de bain
0,0,28581061,La maison Clery,private_room,Paris,2e arrondissement,48.8692921869,2.3483348524000003,1,1,1,2.0
1,1,661961,studio PARIS PLACE EDITH PIAF 75020,entire_home,Paris,,48.867284447399996,2.4032548642,2,1,1,1.0
2,2,1261705,chambre privée à louer @ paris oberkampf,private_room,Paris,,48.867894417200006,2.3758967114,1,1,1,1.0
3,3,1318834,Appartement au coeur du Marais,entire_home,Paris,République,48.8703699867,2.35851034,3,2,2,1.0
4,4,1677091,Lovely & Quiet flat,entire_home,Paris,Buttes-Chaumont - Belleville,48.8741486149,2.373699571,2,1,1,1.0
5,5,2157481,"CENTRAL ET BIEN CONÇU,50m2+terrasse",entire_home,Paris,10e arrondissement,48.8758626621,2.3726647042,4,2,1,1.0
6,6,1140610,Petit atelier canal st Martin,entire_home,Paris,République,48.869362,2.368722,3,1,1,1.0
7,7,5662637,Sophisticated & Sunny Opulent 1BR *Opéra *4 Guests,entire_home,Paris,Opéra - Grands Boulevards,48.87278106229999,2.3515491161,2,2,1,1.0
8,8,5981388,Paris 16 - Elysées-Kléber-Trocadero /,entire_home,Paris,Passy,48.86895242560001,2.2893333931999997,6,5,2,2.0
9,9,149534,GREAT WARM FULL APT LE HAUT MARAIS,entire_home,Paris,,48.8663599642,2.3618441733,4,2,1,1.0
10,10,7936602,UNIQUE ARCHITECT DESIGNED HOUSE,entire_home,Paris,Châtelet - Les Halles - Beaubourg,48.8641158013,2.34798053,4,2,2,1.5
11,11,9468773,La Maison d'Anne suite 2 chambres,entire_home,Paris,Saint-Michel,48.8513389956,2.3501753677,5,4,2,1.0
12,12,56093, Beau duplex dans le Marais ,entire_home,Paris,3e arrondissement,48.867284473000005,2.3584308861000003,4,2,1,1.0
13,13,57207,Belle Chambre pour court,private_room,Paris,Vaugirard,48.846183643100005,2.304454636,2,1,1,1.0
14,14,14386985,Chambre avec salle de douche privative,private_room,Paris,Châtelet - Les Halles - Beaubourg,48.861959669499996,2.3483874635,2,1,1,1.0
15,15,15366928,stunning studio Charles Laffitte,entire_home,Neuilly-sur-Seine,16e arrondissement,48.8799658463,2.2744986479,2,1,1,1.0
16,16,15881321,2 Bedroom Parisian Apartment Close to Eiffel Tower,entire_home,Paris,Tour Eiffel - Champ de Mars,48.854690282700005,2.2983916208,6,3,2,1.0
17,17,1896398,chambre à louer pour 1 ou 2,private_room,Paris,Père Lachaise - Ménilmontant,48.8611933018,2.4053367725,2,2,1,1.0
18,18,17956827,PARIS PANTHEON QUARTIER LATIN,private_room,Paris,Montparnasse,48.8461892666,2.3243340887,3,3,1,1.0
19,19,114543,Charming 1bdr 55m² - Eiffel Tower,entire_home,Paris,,48.8495295698,2.2902192042,2,1,1,1.0
20,20,22199515,Spacious 2 BR Near Eiffel Tower and St Germain,entire_home,Paris,Invalides - Ecole Militaire,48.857508879799994,2.3226100819,3,2,2,1.5
